aa,Afar,Afar
ab,Abkhazian,Abkhazian
ae,Avestan,Avestan
af,Afrikaans,Afrikaans
ak,Akan,Akan
am,Amharic,Amharic
an,Aragonese,Aragonese
ar,Arabic,Arabic
as,Assamese,Assamese
av,Avaric,Avaric
ay,Aymara,Aymara
az,Azerbaijani,Azerbaijani
ba,Bashkir,Bashkir
be,Belarusian,Belarusian
bg,Bulgarian,Bulgarian
bh,Bihari,Bihari languages
bi,Bislama,Bislama
bm,Bambara,Bambara
bn,Bengali,Bengali
bo,Tibetan,Tibetan
br,Breton,Breton
bs,Bosnian,Bosnian
ca,Catalan,Catalan; Valencian
ce,Chechen,Chechen
ch,Chamorro,Chamorro
co,Corsican,Corsican
cr,Cree,Cree
cs,Czech,Czech
cu,Church Slavic,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
cv,Chuvash,Chuvash
cy,Welsh,Welsh
da,Danish,Danish
de,German,German
dv,Maldivian,Divehi; Dhivehi; Maldivian
dz,Dzongkha,Dzongkha
ee,Ewe,Ewe
el,Greek,Greek Modern (1453-)
en,English,English
eo,Esperanto,Esperanto
es,Spanish,Spanish; Castilian
et,Estonian,Estonian
eu,Basque,Basque
fa,Persian,Persian
ff,Fulah,Fulah
fi,Finnish,Finnish
fj,Fijian,Fijian
fo,Faroese,Faroese
fr,French,French
fy,Western Frisian,Western Frisian
ga,Irish,Irish
gd,Scottish Gaelic,Gaelic; Scottish Gaelic
gl,Galician,Galician
gn,Guarani,Guarani
gu,Gujarati,Gujarati
gv,Manx,Manx
ha,Hausa,Hausa
he,Hebrew,Hebrew
hi,Hindi,Hindi
ho,Hiri Motu,Hiri Motu
hr,Croatian,Croatian
ht,Haitian Creole,Haitian; Haitian Creole
hu,Hungarian,Hungarian
hy,Armenian,Armenian
hz,Herero,Herero
ia,Interlingua,Interlingua (International Auxiliary Language Association)
id,Indonesian,Indonesian
ie,Interlingue,Interlingue; Occidental
ig,Igbo,Igbo
ii,Nuosu,Sichuan Yi; Nuosu
ik,Inupiaq,Inupiaq
io,Ido,Ido
is,Icelandic,Icelandic
it,Italian,Italian
iu,Inuktitut,Inuktitut
ja,Japanese,Japanese
jv,Javanese,Javanese
ka,Georgian,Georgian
kg,Kongo,Kongo
ki,Kikuyu,Kikuyu; Gikuyu
kj,Kwanyama,Kuanyama; Kwanyama
kk,Kazakh,Kazakh
kl,Kalaallisut,Kalaallisut; Greenlandic
km,Central Khmer,Central Khmer
kn,Kannada,Kannada
ko,Korean,Korean
kr,Kanuri,Kanuri
ks,Kashmiri,Kashmiri
ku,Kurdish,Kurdish
kv,Komi,Komi
kw,Cornish,Cornish
ky,Kyrgyz,Kirghiz; Kyrgyz
la,Latin,Latin
lb,Luxembourgish,Luxembourgish; Letzeburgesch
lg,Ganda,Ganda
li,Limburgish,Limburgan; Limburger; Limburgish
ln,Lingala,Lingala
lo,Lao,Lao
lt,Lithuanian,Lithuanian
lu,Luba-Katanga,Luba-Katanga
lv,Latvian,Latvian
mg,Malagasy,Malagasy
mh,Marshallese,Marshallese
mi,Maori,Maori
mk,Macedonian,Macedonian
ml,Malayalam,Malayalam
mn,Mongolian,Mongolian
mr,Marathi,Marathi
ms,Malay,Malay
mt,Maltese,Maltese
my,Burmese,Burmese
na,Nauru,Nauru
nd,Northern Ndebele,Northern Ndebele; North Ndebele
ne,Nepali,Nepali
ng,Ndonga,Ndonga
nl,Dutch,Dutch; Flemish
no,Norwegian,Norwegian
nr,Southern Ndebele,Southern Ndebele; South Ndebele
nv,Navajo,Navajo; Navaho
ny,Chewa,Chichewa; Chewa; Nyanja
oc,Occitan,Occitan (post 1500)
oj,Ojibwa,Ojibwa
om,Oromo,Oromo
or,Oriya,Oriya
os,Ossetian,Ossetian; Ossetic
pa,Punjabi,Panjabi; Punjabi
pi,Pali,Pali
pl,Polish,Polish
ps,Pashto,Pushto; Pashto
pt,Portuguese,Portuguese
qu,Quechua,Quechua
rm,Romansh,Romansh
rn,Rundi,Rundi
ro,Romanian,Romanian; Moldavian; Moldovan
ru,Russian,Russian
rw,Kinyarwanda,Kinyarwanda
sa,Sanskrit,Sanskrit
sc,Sardinian,Sardinian
sd,Sindhi,Sindhi
se,Northern Sami,Northern Sami
sg,Sango,Sango
si,Sinhala,Sinhala; Sinhalese
sk,Slovak,Slovak
sl,Slovenian,Slovenian
sm,Samoan,Samoan
sn,Shona,Shona
so,Somali,Somali
sq,Albanian,Albanian
sr,Serbian,Serbian
ss,Swati,Swati
st,Southern Sotho, Southern Sotho
su,Sundanese,Sundanese
sv,Swedish,Swedish
sw,Swahili,Swahili
ta,Tamil,Tamil
te,Telugu,Telugu
tg,Tajik,Tajik
th,Thai,Thai
ti,Tigrinya,Tigrinya
tk,Turkmen,Turkmen
tl,Tagalog,Tagalog
tn,Tswana,Tswana
to,Tongan,Tonga (Tonga Islands)
tr,Turkish,Turkish
ts,Tsonga,Tsonga
tt,Tatar,Tatar
tw,Twi,Twi
ty,Tahitian,Tahitian
ug,Uyghur,Uighur; Uyghur
uk,Ukrainian,Ukrainian
ur,Urdu,Urdu
uz,Uzbek,Uzbek
ve,Venda,Venda
vi,Vietnamese,Vietnamese
vo,VolapÃ¼k,VolapÃ¼k
wa,Walloon,Walloon
wo,Wolof,Wolof
xh,Xhosa,Xhosa
yi,Yiddish,Yiddish
yo,Yoruba,Yoruba
za,Zhuang,Zhuang; Chuang
zh,Chinese,Chinese
zu,Zulu,Zulu
